ECEF-X,ECEF-Y,ECEF-Z,Speed(m/s)
3135001.88729121,4734974.84231751,2904279.46440848,0.166666666666667
3126124.92837417,4744399.90942147,2898499.80065385,0.166666666666667
3116690.22145427,4752973.9152092,2894636.49042888,0.166666666666667
3107407.4736737,4762967.73741959,2888225.43969938,0.166666666666667
3101298.59772625,4768905.2346773,2885013.65871156,0.166666666666667
3095778.92540076,4774445.48352437,2881798.39364417,0.166666666666667
3088286.48419144,4782025.50645506,2877295.96765342,0.166666666666667
3083138.24299265,4788056.05164502,2872814.78531803,0.166666666666667
3079150.25887169,4794470.66419538,2866429.57355512,0.166666666666667
3077745.80122665,4797288.91775446,2863242.31867375,0.166666666666667
3074758.0090474,4802649.84340821,2857498.15814382,0.166666666666667
3071332.86242119,4809772.21176897,2849245.67884477,0.166666666666667
3067365.97790422,4814954.84639177,2844792.04635111,0.166666666666667
3062634.68818334,4820243.39899713,2840956.74047,0.166666666666667
3059218.09217556,4826156.7071211,2834634.12628101,0.166666666666667
3055183.21399635,4832430.44870362,2828332.78322379,0.166666666666667
3051123.37302146,4838690.41884408,2822048.04895397,0.166666666666667
3046651.90030803,4845556.05698853,2815136.77710487,0.166666666666667
3044390.43039694,4849541.46720094,2810746.72849118,0.166666666666667
3042085.57697095,4854634.32252728,2804485.76551317,0.166666666666667
3039374.40151112,4860329.71092604,2797598.55208521,0.166666666666667
3037475.98828611,4864772.75516999,2791970.0654098,0.166666666666667
3035984.56648351,4868587.70185102,2786971.56228067,0.166666666666667
3033080.51198432,4873996.42985837,2780714.83596208,0.166666666666667
3031947.31337592,4878274.23773432,2774484.21133825,0.166666666666667
3032574.65231072,4881428.73255662,2768285.13626915,0.166666666666667
3040110.21989929,4878800.3353813,2764675.33996981,0.166666666666667
3045871.21507932,4877278.75115964,2761041.1733724,0.166666666666667
3051621.29338969,4875752.9822842,2757408.77810143,0.166666666666667
3057005.63612981,4873744.96403706,2755009.70251155,0.166666666666667
3065646.03899533,4870358.56973135,2751419.05460162,0.166666666666667
3072576.1887324,4866992.17699016,2749656.89588002,0.166666666666667
3080246.83862804,4863490.62500891,2747285.29291686,0.166666666666667
3088129.85094681,4859137.23123009,2746146.3281962,0.166666666666667
3091198.17913938,4857516.47390263,2745565.38312106,0.166666666666667
3097563.46825122,4853420.19613858,2745635.10529479,0.166666666666667
3105077.01455475,4848572.57917815,2745712.47374077,0.166666666666667
3113322.14778994,4843588.06357495,2745176.8597203,0.166666666666667
3122299.57786951,4838462.49780428,2744027.08156435,0.166666666666667
3130451.28049669,4834558.16573311,2741636.20327572,0.166666666666667
3138014.2195417,4831022.54462076,2739237.74254178,0.166666666666667
3145561.69050556,4827482.90710293,2736836.57972756,0.166666666666667
3152689.01406378,4824554.98424378,2733817.19533104,0.166666666666667
3158165.38715381,4821652.91243592,2732623.97333765,0.166666666666667
3165183.44141485,4817377.42196714,2732048.48711509,0.166666666666667
3173740.40138575,4811722.25840577,2732087.06530104,0.166666666666667
3180742.59312387,4807431.36182071,2731501.55796442,0.166666666666667
3188712.43697152,4802134.9225583,2731525.72643132,0.166666666666667
3195292.74993021,4798450.20695037,2730319.36624626,0.166666666666667
3204538.57968106,4792621.06018269,2729725.56997353,0.166666666666667
3212809.34544779,4787779.76510852,2728507.21793965,0.166666666666667
3219053.75472684,4783584.93959687,2728504.85511829,0.166666666666667
3228281.21919086,4777717.71089676,2727886.95604299,0.166666666666667
3236935.72841151,4772218.30280077,2727261.61825133,0.166666666666667
3246533.12654063,4768167.73041264,2722964.05930048,0.166666666666667
3254418.84710766,4765259.19899897,2718667.74293501,0.166666666666667
3262135.42878962,4762099.28502342,2714978.71078374,0.166666666666667
3270196.45292319,4756941.17395305,2714327.94218917,0.166666666666667
3273871.37671862,4748988.51767519,2712914.26526992,0.166666666666667
